 1311,1360,1889 
 1320,1386,1914 
 1340,1407,1943 
 1360,1428,1972 
 1380,1449,2001 
 1392,1394,1970 
 1400,1470,2030 
 1420,1491,2059 
 1428,1440,2028 
 1428,1475,2053 
 1440,1512,2088 
 1460,1533,2117 
 1462,1560,2138 
 1480,1554,2146 
 1485,1520,2125 
 1500,1575,2175 
 1520,1596,2204 
 1525,1548,2173 
 1540,1617,2233 
 1547,1560,2197 
 1560,1638,2262 
 1575,1672,2297 
 1580,1659,2291 
 1584,1612,2260 
 1600,1680,2320 
 1620,1701,2349 
 1640,1722,2378 
 1660,1743,2407 
 1664,1710,2386 
 1665,1716,2391 
 1666,1680,2366 
 1680,1764,2436 
 1700,1785,2465 
 1720,1806,2494 
 1740,1827,2523 
 1748,1755,2477 
 1760,1848,2552 
 1780,1869,2581 
 1782,1824,2550 
 1785,1800,2535 
 1786,1848,2570 
 1800,1890,2610 
 1809,1880,2609 
 1820,1911,2639 
 1840,1932,2668 
 1860,1953,2697 
 1880,1974,2726 
 1900,1995,2755 
 1904,1920,2704 
 1920,2016,2784 
 1940,2037,2813 
 1960,2001,2801 
 1960,2058,2842 
 1980,2015,2825 
 1980,2079,2871 
 2023,2040,2873 
 2059,2100,2941 
 2079,2128,2975 
 2088,2091,2955 
 2142,2160,3042 
 2184,2263,3145 
 2220,2288,3188 
 2261,2280,3211 
 2325,2332,3293 
 2376,2418,3390 
 2376,2432,3400 
 2380,2400,3380 
 2387,2484,3445 
 2496,2530,3554 
 2496,2565,3579 
 2499,2520,3549 
 2576,2607,3665 
 2618,2640,3718 
 2622,2720,3778 
 2673,2736,3825 
 2679,2772,3855 
 2737,2760,3887 
 2772,2821,3955 
 2775,2860,3985 
 2784,2788,3940 
 2832,2905,4057 
 2856,2880,4056 
 2856,2950,4106 
 2970,3040,4250 
 2975,3000,4225 
 3050,3096,4346 
 3094,3120,4394 
 3168,3224,4520 
 3213,3240,4563 
 3267,3344,4675 
 3276,3293,4645 
 3328,3420,4772 
 3332,3360,4732 
 3367,3456,4825 
 3451,3480,4901 
 3480,3485,4925 
 3496,3510,4954 
 3564,3627,5085 
 3564,3648,5100 
 3570,3600,5070 
 3689,3720,5239 
 3705,3752,5273 
 3744,3795,5331 
 3808,3840,5408 
 3861,3952,5525 
 3920,4002,5602 
 3927,3960,5577 
 3960,4030,5650 
 4046,4080,5746 
 4059,4060,5741 
 4118,4200,5882 
 4158,4256,5950 
 4165,4200,5915 
 4176,4182,5910 
 4284,4320,6084 
 4356,4433,6215 
 4380,4429,6229 
 4403,4440,6253 
 4515,4588,6437 
 4522,4560,6422 
 4575,4644,6519 
 4641,4680,6591 
 4650,4664,6586 
 4752,4836,6780 
 4760,4800,6760 
 4872,4879,6895 
 4879,4920,6929 
 4905,4928,6953 
 4992,5060,7108 
 4998,5040,7098 
 5117,5160,7267 
 5148,5239,7345 
 5152,5214,7330 
 5236,5280,7436 
 5244,5265,7431 
 5280,5311,7489 
 5355,5400,7605 
 5474,5520,7774 
 5544,5642,7910 
 5568,5576,7880 
 5593,5640,7943 
 5644,5733,8045 
 5712,5760,8112 
 5831,5880,8281 
 5950,6000,8450 
 6069,6120,8619 
 6100,6192,8692 
 6188,6240,8788 
 6240,6325,8885 
 6264,6273,8865 
 6307,6360,8957 
 6426,6480,9126 
 6545,6600,9295 
 6552,6586,9290 
 6660,6731,9469 
 6664,6720,9464 
 6783,6840,9633 
 6837,6916,9725 
 6902,6960,9802 
 6960,6970,9850 
 6975,6996,9879 
 6992,7020,9908 
 7021,7080,9971 
 7140,7200,10140 
 7259,7320,10309 
 7315,7332,10357 
 7378,7440,10478 
 7410,7504,10546 
 7497,7560,10647 
 7616,7680,10816 
 7656,7667,10835 
 7728,7821,10995 
 7735,7800,10985 
 7760,7809,11009 
 7854,7920,11154 
 7973,8040,11323 
 8092,8160,11492 
 8118,8120,11482 
 8211,8280,11661 
 8330,8400,11830 
 8352,8364,11820 
 8437,8484,11965 
 8449,8520,11999 
 8568,8640,12168 
 8687,8760,12337 
 8740,8775,12385 
 8760,8858,12458 
 8806,8880,12506 
 8925,9000,12675 
 8944,8967,12665 
 9044,9120,12844 
 9048,9061,12805 
 9163,9240,13013 
 9282,9360,13182 
 9300,9328,13172 
 9401,9480,13351 
 9416,9513,13385 
 9520,9600,13520 
 9639,9720,13689 
 9744,9758,13790 
 9758,9840,13858 
 9810,9856,13906 
 9828,9879,13935 
 9877,9960,14027 
 9996,10080,14196 
 10115,10200,14365 
 10205,10212,14437 
 10234,10320,14534 
 10353,10440,14703 
 10440,10455,14775 
 10472,10560,14872 
 10488,10530,14862 
 10560,10622,14978 
 10591,10680,15041 
 10710,10800,15210 
 10716,10787,15205 
 10829,10920,15379 
 10948,11040,15548 
 11067,11160,15717 
 11136,11152,15760 
 11186,11280,15886 
 11305,11400,16055 
 11424,11520,16224 
 11523,11564,16325 
 11543,11640,16393 
 11625,11660,16465 
 11662,11760,16562 
 11781,11880,16731 
 11832,11849,16745 
 12100,12141,17141 
 12177,12180,17223 
 12236,12285,17339 
 12528,12546,17730 
 12921,13000,18329 
 13104,13172,18580 
 13224,13243,18715 
 13568,13575,19193 
 13920,13940,19700 
 13950,13992,19758 
 13984,14040,19816 
 14148,14245,20077 
 14616,14637,20685 
 14630,14664,20714 
 14715,14784,20859 
 15089,15120,21361 
 15312,15334,21670 
 15520,15618,22018 
 15732,15795,22293 
 15840,15933,22467 
 16008,16031,22655 
 16236,16240,22964 
 16275,16324,23051 
 16380,16465,23225 
 16683,16756,23645 
 16704,16728,23640 
 16874,16968,23930 
 17400,17425,24625 
 17480,17550,24770 
 17888,17934,25330 
 18096,18122,25610 
 18600,18656,26344 
 18792,18819,26595 
 19135,19152,27073 
 19228,19305,27247 
 19488,19516,27580 
 19620,19712,27812 
 19840,19929,28121 
 20184,20213,28565 
 20295,20300,28705 
 20410,20424,28874 
 20880,20910,29550 
 20925,20988,29637 
 20976,21060,29724 
 21576,21607,30535 
 21708,21755,30733 
 21945,21996,31071 
 22272,22304,31520 
 22724,22815,32201 
 22968,23001,32505 
 23046,23128,32650 
 23250,23320,32930 
 23660,23661,33461 
 23664,23698,33490 
 24200,24282,34282 
 24354,24360,34446 
 24360,24395,34475 
 24472,24570,34678 
 25056,25092,35460 
 25575,25652,36223 
 25647,25696,36305 
 25752,25789,36445 
 26448,26486,37430 
 26492,26565,37517 
 26832,26901,37995 
 27136,27150,38386 
 27144,27183,38415 
 27840,27880,39400 
 27900,27984,39516 
 28413,28420,40187 
 28536,28577,40385 
 28644,28667,40525 
 29232,29274,41370 
 29260,29328,41428 
 29928,29971,42355 
 30178,30240,42722 
 30225,30316,42809 
 30615,30636,43311 
 30624,30668,43340 
 30849,30880,43649 
 31320,31365,44325 
 32016,32062,45310 
 32472,32480,45928 
 32550,32648,46102 
 32712,32759,46295 
 33111,33200,46889 
 33408,33456,47280 
 34104,34153,48265 
 34800,34850,49250 
 35496,35547,50235 
 35776,35868,50660 
 36192,36244,51220 
 36531,36540,51669 
 36575,36660,51785 
 36888,36941,52205 
 37584,37638,53190 
 38270,38304,54146 
 38280,38335,54175 
 38976,39032,55160 
 38989,39060,55189 
 39672,39729,56145 
 40040,40119,56681 
 40368,40426,57130 
 40590,40600,57410 
 40704,40725,57579 
 40820,40848,57748 
 41064,41123,58115 
 41760,41820,59100 
 42456,42517,60085 
 42676,42693,60365 
 43152,43214,61070 
 43416,43510,61466 
 43848,43911,62055 
 44544,44608,63040 
 44649,44660,63151 
 45240,45305,64025 
 45267,45360,64083 
 45347,45396,64165 
 45936,46002,65010 
 46632,46699,65995 
 47320,47322,66922 
 47328,47396,66980 
 48024,48093,67965 
 48708,48720,68892 
 48720,48790,68950 
 49288,49335,69737 
 49416,49487,69935 
 50112,50184,70920 
 50808,50881,71905 
 51025,51060,72185 
 51294,51392,72610 
 51504,51578,72890 
 52185,52208,73817 
 52200,52275,73875 
 52767,52780,74633 
 52896,52972,74860 
 53592,53669,75845 
